Zelle;Kapazität in mAh;Temperatur;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;Rel. Kapa. % / Tag;Verlust an abs. Kapa in mAh;mAh/Tag;mAh/Jahr;Paper;Chemie;Art d. Alterung;Kondition der Alterung
NCR18650B;3200;30;60;0.991;30.0;0.03;28.8;0.96;350;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;60;0.984;65.0;0.024615385;51.2;0.787692308;288;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;60;0.979;105.0;0.02;67.2;0.64;234;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;60;0.974;140.0;0.018571429;83.2;0.594285714;217;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;70;0.991;30.0;0.03;28.8;0.96;350;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;70;0.983;65.0;0.026153846;54.4;0.836923077;305;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;70;0.977;105.0;0.021904762;73.6;0.700952381;256;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;70;0.973;140.0;0.019285714;86.4;0.617142857;225;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;100;0.986;30.0;0.046666667;44.8;1.493333333;545;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;100;0.976;65.0;0.036923077;76.8;1.181538462;431;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;100;0.969;105.0;0.02952381;99.2;0.944761905;345;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
NCR18650B;3200;30;100;0.963;140.0;0.026428571;118.4;0.845714286;309;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NCA;Calendar;Keine Angabe
UR18650AAN;2150;30;14;1,008;35.0;-2877.142857;-2165050;-61858.57143;-22,578,379;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;14;1,005;65.0;-1544.615385;-2158600;-33209.23077;-12,121,369;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;14;1,000;105.0;-951.4285714;-2147850;-20455.71429;-7,466,336;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;14;0.993;140.0;0.005;15.05;0.1075;39;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;60;1,000;30.0;-3330;-2147850;-71595;-26,132,175;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;60;0.999;65.0;0.001538462;2.15;0.033076923;12;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;60;0.997;105.0;0.002857143;6.45;0.061428571;22;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;60;0.996;140.0;0.002857143;8.6;0.061428571;22;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;70;0.996;30.0;0.013333333;8.6;0.286666667;105;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;70;0.992;65.0;0.012307692;17.2;0.264615385;97;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;70;0.990;105.0;0.00952381;21.5;0.204761905;75;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;70;0.987;140.0;0.009285714;27.95;0.199642857;73;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;90;0.993;30.0;0.023333333;15.05;0.501666667;183;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;90;0.989;65.0;0.016923077;23.65;0.363846154;133;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;90;0.987;105.0;0.012380952;27.95;0.266190476;97;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;90;0.984;140.0;0.011428571;34.4;0.245714286;90;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;100;0.988;30.0;0.04;25.8;0.86;314;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;100;0.984;65.0;0.024615385;34.4;0.529230769;193;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;100;0.981;105.0;0.018095238;40.85;0.389047619;142;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650AAN;2150;30;100;0.978;140.0;0.015714286;47.3;0.337857143;123;Evaluating the Aging-Induced Voltage Slippery as Cause for Float Currents of Lithium-ion Cells;NMC;Calendar;Keine Angabe
UR18650E;2050;50;0;0.954;418.6;0.010989011;94.3;0.225274725;82;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;50;10;0.932;417.6;0.016283525;139.4;0.333812261;122;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;50;20;0.962;107.9;0.035217794;77.9;0.721964782;264;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;50;30;0.852;408.2;0.036256737;303.4;0.743263106;271;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;50;50;0.845;407.7;0.038018151;317.75;0.779372087;284;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;50;60;0.924;107.8;0.070500928;155.8;1.445269017;528;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;50;70;0.804;417.8;0.046912398;401.8;0.961704165;351;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;50;80;0.763;419.6;0.056482364;485.85;1.157888465;423;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;50;85;0.748;418.1;0.060272662;516.6;1.235589572;451;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;50;90;0.756;356.2;0.068500842;500.2;1.404267266;513;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;50;95;0.743;353.4;0.072722128;526.85;1.490803622;544;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;50;100;0.551;157.3;0.285441831;920.45;5.851557533;2,136;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;35;50;0.955;344.6;0.013058619;92.25;0.267701683;98;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;35;50;0.952;344.6;0.013929193;98.4;0.285548462;104;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;40;50;0.930;342.8;0.02042007;143.5;0.418611435;153;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;40;50;0.926;342.5;0.021605839;151.7;0.442919708;162;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;50;50;0.846;407.5;0.037791411;315.7;0.774723926;283;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
UR18650E;2050;50;50;0.844;407.5;0.038282209;319.8;0.784785276;286;Calendar and cycle life study of Li(NiMnCo)O2-based 18650 lithiumion batteries;NMC;Calendar;float condition
NCR188650BD;3200;24;90;0.846;576.0;0.026736111;492.8;0.855555556;312;nvestigation of Path-Dependent Degradation in Lithium-Ion Batteries;NCA;1d Cycling + 5 days Calendar, Group 1, C/2;open circuit voltage
NCR188650BD;3200;24;90;0.870;576.0;0.022569444;416;0.722222222;264;nvestigation of Path-Dependent Degradation in Lithium-Ion Batteries;NCA;1d Cycling + 5 days Calendar, Group 1, C2;open circuit voltage
NCR188650BD;3200;24;90;0.876;576.0;0.021527778;396.8;0.688888889;251;nvestigation of Path-Dependent Degradation in Lithium-Ion Batteries;NCA;1d Cycling + 5 days Calendar, Group 1, C/2;open circuit voltage
NCR188650BD;3200;24;90;0.891;576.0;0.018923611;348.8;0.605555556;221;nvestigation of Path-Dependent Degradation in Lithium-Ion Batteries;NCA;1d Cycling + 5 days Calendar, Group 2, C/4;open circuit voltage
NCR188650BD;3200;24;90;0.892;576.0;0.01875;345.6;0.6;219;nvestigation of Path-Dependent Degradation in Lithium-Ion Batteries;NCA;1d Cycling + 5 days Calendar, Group 2, C/4;open circuit voltage
NCR188650BD;3200;24;90;0.896;576.0;0.018055556;332.8;0.577777778;211;nvestigation of Path-Dependent Degradation in Lithium-Ion Batteries;NCA;1d Cycling + 5 days Calendar, Group 2, C/4;open circuit voltage
NCR188650BD;3200;24;90;0.831;576.0;0.029340278;540.8;0.938888889;343;nvestigation of Path-Dependent Degradation in Lithium-Ion Batteries;NCA;2d Cycling + 10 days Calendar, Group 3, C/2;open circuit voltage
NCR188650BD;3200;24;90;0.838;576.0;0.028125;518.4;0.9;329;nvestigation of Path-Dependent Degradation in Lithium-Ion Batteries;NCA;2d Cycling + 10 days Calendar, Group 3, C/2;open circuit voltage
NCR188650BD;3200;24;90;0.839;576.0;0.027951389;515.2;0.894444444;326;nvestigation of Path-Dependent Degradation in Lithium-Ion Batteries;NCA;2d Cycling + 10 days Calendar, Group 3, C/2;open circuit voltage
NCR188650BD;3200;24;90;0.895;576.0;0.018229167;336;0.583333333;213;nvestigation of Path-Dependent Degradation in Lithium-Ion Batteries;NCA;2d Cycling + 10 days Calendar, Group 4, C/4;open circuit voltage
NCR188650BD;3200;24;90;0.898;576.0;0.017708333;326.4;0.566666667;207;nvestigation of Path-Dependent Degradation in Lithium-Ion Batteries;NCA;2d Cycling + 10 days Calendar, Group 4, C/4;open circuit voltage
NCR188650BD;3200;24;90;0.900;576.0;0.017361111;320;0.555555556;203;nvestigation of Path-Dependent Degradation in Lithium-Ion Batteries;NCA;2d Cycling + 10 days Calendar, Group 4, C/4;open circuit voltage
NCR188650B;3200;25;100;0.982;63;0.028571429;57.6;0.914285714;334;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;25;100;0.965;63;0.055555556;112;1.777777778;649;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;40;100;0.96;63;0.063492063;128;2.031746032;742;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;40;80;0.978;63;0.034920635;70.4;1.117460317;408;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;60;80;0.961;63;0.061904762;124.8;1.980952381;723;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;60;80;0.95;63;0.079365079;160;2.53968254;927;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;25;50;0.996;63;0.006349206;12.8;0.203174603;74;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;25;50;0.985;63;0.023809524;48;0.761904762;278;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;40;50;0.973;63;0.042857143;86.4;1.371428571;501;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;60;20;0.988;63;0.019047619;38.4;0.60952381;222;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;25;100;0.977;108;0.021296296;73.6;0.681481481;249;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;25;100;0.963;108;0.034259259;118.4;1.096296296;400;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;40;100;0.945;108;0.050925926;176;1.62962963;595;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;40;80;0.972;108;0.025925926;89.6;0.82962963;303;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3200;60;80;0.95;108;0.046296296;160;1.481481481;541;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3201;60;80;0.934;108;0.061111111;211.266;1.956166667;714;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3202;25;50;0.991;108;0.008333333;28.818;0.266833333;97;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3203;25;50;0.973;108;0.025;86.481;0.80075;292;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3204;40;50;0.958;108;0.038888889;134.568;1.246;455;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3206;60;20;0.992;108;0.007407407;25.648;0.237481481;87;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
NCR188650B;3207;60;20;0.977;108;0.021296296;73.761;0.682972222;249;Aging of Tesla’s 18650 Lithium-Ion Cells: Correlating Solid-Electrolyte-Interphase Evolution with Fading in Capacity and Power;NCA;Calendar;Keine Angabe
