Zelle;Kapazität in mAh;Temperatur;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;Rel. Kapa. % / Tag;Verlust an abs. Kapa in mAh;mAh/Tag;mAh/Jahr;Paper;Chemie;Art d. Alterung;Kondition der Alterung
NCR18650PD;2800;40;70;0.922;300.0;0.026;218.4;0.728;266;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;70;0.950;300.0;0.016666667;140;0.466666667;170;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;70;0.856;300.0;0.048;295.2;0.984;359;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;70;0.899;300.0;0.033666667;207.05;0.690166667;252;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;70;0.946;300.0;0.018;110.7;0.369;135;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;70;0.884;270.0;0.042962963;127.6;0.472592593;172;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;70;0.924;270.0;0.028148148;83.6;0.30962963;113;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;70;0.965;270.0;0.012962963;38.5;0.142592593;52;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
NCR18650PD;2800;25;80;0.949;288.0;0.017708333;142.8;0.495833333;181;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;80;0.892;285.0;0.037894737;302.4;1.061052632;387;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;80;0.918;300.0;0.027333333;229.6;0.765333333;279;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;80;0.949;300.0;0.017;142.8;0.476;174;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;80;0.825;300.0;0.058333333;358.75;1.195833333;436;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
