Zelle;Spannung;Bezeichnung;Abkürzung;Datum
B-06;3.5135;NCR18650BD;BD;01.08.2024
B-07;3.514097;NCR18650BD;BD;01.08.2024
B-08;3.514301;NCR18650BD;BD;01.08.2024
B-09;3.514125;NCR18650BD;BD;01.08.2024
B-10;3.513406;NCR18650BD;BD;01.08.2024
B-11;3.514695;NCR18650BD;BD;01.08.2024
PF-00;3.5171;NCR18650BD;BD;01.08.2024
PF-01;3.518212;NCR18650BD;BD;01.08.2024
PF-02;3.516409;NCR18650BD;BD;01.08.2024
PF-03;3.517134;NCR18650BD;BD;01.08.2024
PF-04;3.516012;NCR18650BD;BD;01.08.2024
PF-05;3.518515;NCR18650BD;BD;01.08.2024
PF-06;3.516712;NCR18650BD;BD;01.08.2024
PF-07;3.51779;NCR18650BD;BD;01.08.2024
PF-08;3.517032;NCR18650BD;BD;01.08.2024
PF-09;3.516486;NCR18650BD;BD;01.08.2024
PF-10;3.517525;NCR18650BD;BD;01.08.2024
PF-11;3.516886;NCR18650BD;BD;01.08.2024
BD-00;3.515813;NCR18650BD;BD;01.08.2024
BD-01;3.514776;NCR18650BD;BD;01.08.2024
BD-02;3.51495;NCR18650BD;BD;01.08.2024
BD-03;3.514226;NCR18650BD;BD;01.08.2024
BD-04;3.515961;NCR18650BD;BD;01.08.2024
BD-05;3.51525;NCR18650BD;BD;01.08.2024
BD-06;3.514462;NCR18650BD;BD;01.08.2024
BD-07;3.516518;NCR18650BD;BD;01.08.2024
BD-08;3.516401;NCR18650BD;BD;01.08.2024
BD-09;3.515557;NCR18650BD;BD;01.08.2024
BD-10;3.516258;NCR18650BD;BD;01.08.2024
BD-11;3.516773;NCR18650BD;BD;01.08.2024
BD-12;3.515735;NCR18650BD;BD;01.08.2024
