BD-00;0;NCA;3.515813;NCR18650BD;BD;01.08.2024
BD-01;1;NCA;3.514776;NCR18650BD;BD;01.08.2024
BD-02;2;NCA;3.51495;NCR18650BD;BD;01.08.2024
BD-03;3;NCA;3.514226;NCR18650BD;BD;01.08.2024
BD-04;4;NCA;3.515961;NCR18650BD;BD;01.08.2024
BD-05;5;NCA;3.51525;NCR18650BD;BD;01.08.2024
BD-06;6;NCA;3.514462;NCR18650BD;BD;01.08.2024
BD-07;7;NCA;3.516518;NCR18650BD;BD;01.08.2024
BD-08;8;NCA;3.516401;NCR18650BD;BD;01.08.2024
BD-09;9;NCA;3.515557;NCR18650BD;BD;01.08.2024
BD-10;10;NCA;3.516258;NCR18650BD;BD;01.08.2024
BD-11;11;NCA;3.516773;NCR18650BD;BD;01.08.2024
BD-12;12;NCA;3.515735;NCR18650BD;BD;01.08.2024
PF-00;0;NCA;3.5171;NCR18650PF;PF;01.08.2024
PF-01;1;NCA;3.518212;NCR18650PF;PF;01.08.2024
PF-02;2;NCA;3.516409;NCR18650PF;PF;01.08.2024
PF-03;3;NCA;3.517134;NCR18650PF;PF;01.08.2024
PF-04;4;NCA;3.516012;NCR18650PF;PF;01.08.2024
PF-05;5;NCA;3.518515;NCR18650PF;PF;01.08.2024
PF-06;6;NCA;3.516712;NCR18650PF;PF;01.08.2024
PF-07;7;NCA;3.51779;NCR18650PF;PF;01.08.2024
PF-08;8;NCA;3.517032;NCR18650PF;PF;01.08.2024
PF-09;9;NCA;3.516486;NCR18650PF;PF;01.08.2024
PF-10;10;NCA;3.517525;NCR18650PF;PF;01.08.2024
PF-11;11;NCA;3.516886;NCR18650PF;PF;01.08.2024
B-00;0;NCA;3.514565;NCR18650B;B;01.08.2024
B-01;1;NCA;3.513998;NCR18650B;B;01.08.2024
B-02;2;NCA;3.513644;NCR18650B;B;01.08.2024
B-03;3;NCA;3.51522;NCR18650B;B;01.08.2024
B-04;4;NCA;3.513638;NCR18650B;B;01.08.2024
B-05;5;NCA;3.513931;NCR18650B;B;01.08.2024
B-06;6;NCA;3.5135;NCR18650B;B;01.08.2024
B-07;7;NCA;3.514097;NCR18650B;B;01.08.2024
B-08;8;NCA;3.514301;NCR18650B;B;01.08.2024
B-09;9;NCA;3.514125;NCR18650B;B;01.08.2024
B-10;10;NCA;3.513406;NCR18650B;B;01.08.2024
B-11;11;NCA;3.514695;NCR18650B;B;01.08.2024
